Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"V-c207","C207",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c21","C21",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c210","C210",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c211","C211",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c212","C212",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c213","C213",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c214","C214",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c215","C215",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c216","C216",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c217","C217",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c22","C22",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c220","C220",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c221","C221",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c222","C222",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c223","C223",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c224","C224",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c225","C225",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c226","C226",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c227","C227",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c23","C23",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c230","C230",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c231","C231",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c232","C232",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c233","C233",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c234","C234",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c235","C235",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c236","C236",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c237","C237",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c24","C24",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c240","C240",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c241","C241",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c242","C242",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c243","C243",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c244","C244",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c245","C245",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c246","C246",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c247","C247",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c25","C25",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c250","C250",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c251","C251",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c252","C252",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c253","C253",Boolean,1,R/W,10,,,,,,,,,,"",
